id,area_m2
231,0
232,0
233,0
234,0
235,34185.4275
236,388012.6181
237,137930.4607
238,108599.4263
239,137930.0253
240,169901.0563
241,330582.8263
242,439689.0579
243,679674.7502
244,584390.8298
245,522926.2606
246,463794.9345
247,609317.5563
248,360220.9075
249,101778.5076
250,11885.56382
251,2401.046906
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,32013.7175
277,237831.6664
278,116197.5652
279,333758.8205
280,640935.2653
281,236119.742
282,444545.9331
283,379416.0518
284,281500.6661
285,526685.5109
286,466526.0944
287,337589.5355
288,375137.7886
289,369862.1728
290,383583.9189
291,158015.8844
292,6014.358762
293,600.259613
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,104510.0606
318,286657.8953
319,113974.1994
320,374611.1439
321,665190.3449
322,861907.0173
323,774586.0045
324,472706.328
325,404225.8907
326,179798.9816
327,250874.6473
328,407567.0156
329,305777.9901
330,365609.6002
331,258854.9898
332,165462.7988
333,86840.77358
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,18105.57855
359,176502.4115
360,287773.621
361,137516.1721
362,465126.784
363,533696.2555
364,720319.1532
365,788641.7021
366,536198.1195
367,276245.5835
368,255765.2285
369,251132.0327
370,320428.1209
371,365081.5321
372,199013.1387
373,130494.4661
374,48319.81094
375,2396.298339
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,43633.59417
400,182619.341
401,200127.0435
402,322263.381
403,252864.8576
404,495187.7057
405,445258.3291
406,603354.2558
407,633297.58
408,565440.6972
409,335782.9645
410,246849.5849
411,353201.7235
412,274851.6262
413,253158.8407
414,70044.89895
415,43723.92521
416,18508.02998
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,95176.05759
441,321369.8924
442,413787.723
443,300768.536
444,453622.0219
445,491787.9485
446,442772.9419
447,400863.7453
448,539185.4031
449,635292.2872
450,413432.8101
451,281447.4563
452,265358.9287
453,259527.5745
454,173216.4574
455,135110.1139
456,59501.79667
457,12605.09315
458,1200.490097
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,205218.1888
482,649716.9854
483,511521.5234
484,374035.1485
485,185200.9837
486,275389.9333
487,398186.1074
488,466674.3749
489,319399.3863
490,410054.3165
491,516129.5024
492,371760.1442
493,437169.6596
494,193318.3103
495,191024.3559
496,93570.37753
497,50636.74298
498,1808.960327
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,4295.401289
522,115400.0963
523,367552.4167
524,705265.8484
525,613098.9516
526,312245.5375
527,327476.3293
528,340357.6644
529,361422.4303
530,259324.6759
531,196339.9555
532,183105.0356
533,399500.6382
534,497569.6977
535,595311.6316
536,159570.5537
537,303257.5137
538,153606.935
539,22904.33347
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,18008.49083
563,154072.3641
564,355701.7019
565,386925.8895
566,528540.0359
567,414947.4951
568,214022.7265
569,242540.4112
570,313269.6776
571,165625.3307
572,60650.20599
573,11512.32013
574,36737.80264
575,129336.8654
576,282770.6511
577,120809.2163
578,410340.2551
579,559772.0157
580,238740.1919
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,13071.99358
604,299524.9597
605,438223.3789
606,473572.5206
607,414949.9113
608,373533.0104
609,383362.8725
610,321526.5572
611,327755.97
612,112931.6724
613,14102.6521
614,0
615,0
616,0
617,0
618,200.0765533
619,2901.10923
620,68709.8197
621,55604.80898
622,899.9519463
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,19605.73121
645,221001.2651
646,440122.7863
647,528411.4764
648,641907.423
649,452943.8885
650,557172.7301
651,326280.4542
652,307597.0864
653,54281.57658
654,600.2259445
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,5.884494108
685,49524.03427
686,79760.22276
687,206935.337
688,583386.3949
689,788311.9162
690,416805.1211
691,283393.0337
692,348682.4585
693,158068.3244
694,12707.44159
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,3899.826991
726,106619.1354
727,154941.2364
728,238255.0832
729,367769.6282
730,123890.6097
731,315609.4049
732,805516.0431
733,291101.0047
734,161628.9572
735,8199.048104
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,48264.02292
767,256500.4366
768,134186.7497
769,93052.10813
770,211583.5735
771,344685.8545
772,122260.252
773,102672.7154
774,289568.1296
775,179995.9648
776,4201.49501
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
