"","system.index","X2023.10.12","X2023.10.17","X2023.10.25","X2023.10.29","X2023.11.05","X2023.11.10","X2023.11.17","X2023.11.18","X2023.11.22","X2023.11.29","X2023.12.04","X2023.12.11","X2023.12.16","X2023.12.23","X2023.12.24","X2023.12.28","X2024.01.04","X2024.01.05","X2024.01.09","X2024.01.16","X2024.01.17","X2024.01.21","X2024.01.28","X2024.01.29","X2024.02.02","X2024.02.09","X2024.02.10","X2024.02.14","X2024.02.21","X2024.02.22","X2024.02.26","X2024.03.04","X2024.03.05","X2024.03.09","X2024.03.16","X2024.03.17","X2024.03.21","X2024.03.28","X2024.03.29","X2024.04.02","X2024.04.09","X2024.04.21","X2024.05.04","X2024.05.08","X2024.05.16","X2024.05.20","X2024.05.27","X2024.06.01","X2024.07.03","X2024.07.27","id",".geo","X2024.08.03","X2024.08.10","X2024.08.17","X2024.08.24","X2024.08.31","X2024.09.07","X2024.09.14","X2024.09.21","X2024.09.28","X2024.10.05"
"27","1_gaza_dpm_20231012T154103_asc_0000000000000000001a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"{""type"":""Polygon"",""coordinates"":[[[34.21927852462922,31.36340688290035],[34.219162147082905,31.354388745752136],[34.229675977550194,31.354288399191606],[34.22979335921324,31.36330648425099],[34.21927852462922,31.36340688290035]]]}",0,0,0,0,0,0,0,0,0,0
"28","1_gaza_dpm_20231012T154103_asc_0000000000000000001b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"{""type"":""Polygon"",""coordinates"":[[[34.219162147082905,31.354388745752136],[34.2190456845622,31.345366143689432],[34.229558595733444,31.345265823808592],[34.229675977550194,31.354288399191606],[34.219162147082905,31.354388745752136]]]}",0,0,0,0,0,0,0,0,0,0
"29","1_gaza_dpm_20231012T154103_asc_0000000000000000001c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"{""type"":""Polygon"",""coordinates"":[[[34.2190456845622,31.345366143689432],[34.21892939153743,31.33634345896066],[34.229441213762996,31.3362432168752],[34.229558595733444,31.345265823808592],[34.2190456845622,31.345366143689432]]]}",0,0,0,0,0,0,0,0,0,0
"30","1_gaza_dpm_20231012T154103_asc_0000000000000000001d",0,0,0,0,0,0,0,0,1507.75647861256,0,0,0,1200.55542755127,1200.55567169189,900.416969299316,0,6202.87089538574,2927.2364980361,2210.43600122788,1800.83322143555,0,819.202492568072,0,0,1907.94160587086,0,302.493075471766,0,0,0,0,0,0,0,0,0,0,0,1500.69423675537,0,0,0,0,0,0,0,0,0,0,0,30,"{""type"":""Polygon"",""coordinates"":[[[34.21892939153743,31.33634345896066],[34.21881309836193,31.32732528011909],[34.2293240012663,31.32722506405622],[34.229441213762996,31.3362432168752],[34.21892939153743,31.33634345896066]]]}",0,0,0,0,100.046363830566,0,0,0,0,0
"31","1_gaza_dpm_20231012T154103_asc_0000000000000000001e",0,0,0,0,0,0,1300.60765075684,0,0,0,0,0,100.046775817871,5204.77647696102,0,0,5402.52303314209,2603.56645498837,2601.20598602295,0,0,0,300.140411376953,900.420066833496,0,0,3101.44826507568,1100.51461029053,0,0,0,0,0,0,0,0,1400.6549987793,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"{""type"":""Polygon"",""coordinates"":[[[34.21881309836193,31.32732528011909],[34.21869688985947,31.31830266321354],[34.22920678861636,31.31820242212077],[34.2293240012663,31.32722506405622],[34.21881309836193,31.32732528011909]]]}",0,900.419410705566,0,0,400.186920166016,0,0,0,0,0
"32","1_gaza_dpm_20231012T154103_asc_0000000000000000001f",0,6202.87477111816,0,0,0,0,0,0,0,500.23258972168,1300.60282897949,0,3601.67163848877,200.092666625977,0,1200.55783081055,900.418586730957,0,600.278785705566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"{""type"":""Polygon"",""coordinates"":[[[34.21869688985947,31.31830266321354],[34.218580766030406,31.309284451768395],[34.229089575813155,31.309184287638942],[34.22920678861636,31.31820242212077],[34.21869688985947,31.31830266321354]]]}",0,0,0,0,0,0,0,0,0,0
"33","1_gaza_dpm_20231012T154103_asc_00000000000000000020",0,100.046279907227,0,0,0,0,0,0,0,0,0,0,100.046279907227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"{""type"":""Polygon"",""coordinates"":[[[34.218580766030406,31.309284451768395],[34.218464642051046,31.30026175179449],[34.22897244767077,31.300161639224825],[34.229089575813155,31.309184287638942],[34.218580766030406,31.309284451768395]]]}",0,0,0,0,0,0,0,0,0,0
"34","1_gaza_dpm_20231012T154103_asc_00000000000000000021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"{""type"":""Polygon"",""coordinates"":[[[34.218464642051046,31.30026175179449],[34.21834860274549,31.291243536255685],[34.228855489003685,31.291143372212055],[34.22897244767077,31.300161639224825],[34.218464642051046,31.30026175179449]]]}",0,0,0,0,0,0,0,0,0,0
"35","1_gaza_dpm_20231012T154103_asc_00000000000000000022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,"{""type"":""Polygon"",""coordinates"":[[[34.21834860274549,31.291243536255685],[34.21823256328989,31.28222075607856],[34.228738445369736,31.282120720214472],[34.228855489003685,31.291143372212055],[34.21834860274549,31.291243536255685]]]}",0,0,0,0,0,0,0,0,0,0
"36","1_gaza_dpm_20231012T154103_asc_00000000000000000023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"{""type"":""Polygon"",""coordinates"":[[[34.21823256328989,31.28222075607856],[34.21811660850853,31.273202539331777],[34.22862148639737,31.27310247730006],[34.228738445369736,31.282120720214472],[34.21823256328989,31.28222075607856]]]}",0,0,0,0,0,0,0,0,0,0
